"","x"
"210",0.0566274083659952
"211",-0.0676914744923856
"212",0.108701314439184
"213",0.0355918875010674
"214",0.0438486693010759
"215",-0.00109079631444614
"216",-4.10068963421258e-05
"217",-0.00290217985472095
"218",0.0453129202103644
"219",0.00190061359853446
"220",-0.0505005081070793
"221",0.0157380883101527
"222",-0.0334317837505121
"223",0.0830190049152652
"224",-0.045114084843229
"225",0.0529649288021887
"226",-0.0790783069384013
"227",-0.0621222832899151
"228",0.0325720718609429
"229",0.0932549958006613
"230",-0.0378776484316085
"231",0.0276192712234223
"232",0.00423860633316855
"233",-0.0109106089165108
"234",0.108682408550165
"235",-0.140429481903472
"236",-0.0298983546062993
"237",0.00244984994578183
"238",-0.0484398608590759
"239",0.0514259155864528
"240",0.0145586792100609
"241",-0.00469513036274011
"242",0.0607569526490223
"243",0.0679350233735785
"244",-0.0434275652580354
"245",0.00137192359824353
"246",-0.00401617763874416
"247",0.0159650762062129
"248",0.033770908719077
"249",0.0159944070824008
"250",-0.0739336991990025
"251",-0.0369863618933935
"252",0.00956220409917881
"253",0.0975399056273256
"254",-0.0286628146387754
"255",0.0926175030402611
"256",0.0123476995432504
"257",-0.0464857943181106
"258",-0.00781748457901655
"259",0.0174475373142425
"260",0.0363555304550692
"261",-0.0269659453577331
"262",-0.0659874910838673
"263",-0.0135460294533452
"264",-0.0125643452539654
"265",-0.02341481860337
"266",-0.0029986317486567
"267",-0.0710944747917024
"268",0.0231359500252414
"269",0.00481798260784718
"270",0.0366747369139424
"271",0.0116271772220235
"272",-0.00158235926413257
"273",0.00300429398404896
"274",-0.0618111561527626
"275",-0.0486935705529986
"276",-0.101959506198122
"277",-0.00480459807846196
"278",0.0103414821349347
"279",-0.00731875934144996
"280",-0.0698637700053375
"281",0.00643793262689078
"282",-0.0900456750037004
"283",-0.0277684083192623
"284",0.0244385069406102
"285",-0.0609981699778648
"286",-0.0357191180661081
"287",-0.0644342530920762
"288",-0.0229539344606226
"289",-0.0822680893040583
"290",-0.0563482946899509
"291",0.0618830017055441
"292",0.0106380308840072
"293",0.0311391238783342
"294",-0.021589337601484
"295",-0.00942869403367201
"296",0.00368339509689519
"297",-0.0531603291403527
"298",-0.0200594872075909
"299",-0.0474407489354558
"300",0.0690931140672573
"301",0.000744771558178799
"302",0.0872125746229173
"303",0.03050220630283
"304",-0.0259758021879147
"305",0.101289085021937
"306",-0.00115126656760302
"307",-0.003753895298118
"308",0.0061491332250353
"309",-0.0146853506187913
"310",-0.0957188217843705
"311",0.0316246704992785
"312",-0.0529590517460295
"313",-0.0310145330948338
"314",-0.0176318812083059
"315",0.0312215767990482
"316",-0.00609860228154059
"317",-0.0985538117307455
"318",-0.0595814301350487
"319",0.143553944129198
"320",-0.0495654560655545
"321",-0.0638917548946463
"322",0.0764831702795439
"323",-0.0488418714416684
"324",0.0293141922822603
"325",0.0473111661721639
"326",0.0232746240886917
"327",-0.0321476120715189
"328",-0.0664453685093985
"329",0.0139629360356235
"330",-0.0624300274366008
"331",0.0245255960565414
"332",0.0475609784962666
"333",-0.0484640681187926
"334",0.050348429918638
"335",0.00159567984423774
"336",0.0457855446485655
"337",-0.0594917170893512
"338",0.0168639356268426
"339",-0.170551120505058
"340",-0.136039551593
"341",-0.00435859085494218
"342",-0.0283585489011004
"343",0.00691392155168292
"344",0.0414759577704906
"345",0.0736979167108805
"346",-0.0059553734113227
"347",-0.0536333610871473
"348",0.00666752218175393
"349",0.00779420365888401
"350",0.0865266158029747
"351",-0.131796090022095
"352",-0.000684935318214947
"353",0.0490784515472202
"354",0.0434263086122995
"355",0.0329723185878725
"356",-0.0243815304038248
"357",-0.0375952047775297
"358",0.0219930248259749
"359",-0.0524953965744673
"360",-0.0448583777043896
"361",-0.0209792736249867
"362",0.0270617348476837
"363",0.0221845088100111
"364",-0.0217341566902286
"365",0.0107258099032847
"366",-0.0167425810356846
"367",-0.00459567151238045
"368",-0.0408793169760293
"369",0.0177479535302041
"370",-0.0347258026758733
"371",-0.0965497526138708
"372",0.00342234154016151
"373",0.0659987077418157
"374",0.013425644733533
"375",-0.0161619628713497
"376",-0.0191402844669851
"377",0.0314219790411777
"378",-0.0165418173115053
"379",0.0350847722794429
"380",0.0337602877207858
"381",-0.0307825511320359
"382",-0.0227251312640834
"383",0.0184796372878643
"384",0.121515115271271
"385",0.00892502975148445
"386",0.0604372906950261
"387",0.0972940592320087
"388",-0.0818175855886015
"389",-0.0318797124077401
"390",0.00848045589994965
"391",0.031682338193665
"392",0.106530557804021
"393",-0.00870123686454155
"394",-0.0250730326861356
"395",-0.0317914386133916
"396",0.0185650090977795
"397",-0.0100517863484321
"398",-0.0545880567372637
"399",-0.0389792151721419
"400",0.0827486658288007
"401",-0.0324911833705573
"402",-0.00465494896365281
"403",0.0231846597170175
"404",0.00909015832931375
"405",0.00851624366681044
"406",0.0285976890759351
"407",-0.0418741697343404
"408",0.0400777250481458
"409",0.00932909063667723
"410",0.00230853097959786
"411",0.0299677823034295
"412",0.0375344912182005
"413",-0.0304595352187964
"414",0.0135200689519638
"415",0.0148636338254217
"416",-0.0449212089519222
"417",0.0482067329966932
