binomial,log mass,log watts,altitude,Elevation,Orders,Two orders
Glyphorynchus_spirurus,1.1913,-0.6035,Low,1,furnariids,Passeriformes
Grallaria_guatimalensis,1.9395,-0.2085,Mid,2,Grallaridae,Passeriformes
Grallaria_rufula,1.5283,-0.2841,High,3,Grallaridae,Passeriformes
Gymnopithys_salvini,1.4329,-0.4995,Low,1,Thamnophilidae,Passeriformes
Habia_rubica,1.5644,-0.2332,Low,1,tanagers,Passeriformes
Haplospiza_rustica,1.2555,-0.8569,High,3,finches,Passeriformes
Heliangelus_amethysticollis,0.7604,-0.8377,High,3,Apodiformes,nopasserines
Heliodoxa_leadbeateri,0.8766,-0.7286,Mid,2,Apodiformes,nopasserines
Hemispingus_atropileus,1.3101,-0.4154,High,3,tanagers,Passeriformes
Hemispingus_melanotis,1.2497,-0.6343,Mid,2,tanagers,Passeriformes
Hemispingus_superciliaris,1.1644,-0.4956,High,3,tanagers,Passeriformes
Hemispingus_xanthophthalmus,1.1151,-0.7114,High,3,tanagers,Passeriformes
Henicorhina_leucophrys,1.1833,-0.5072,Mid,2,wrens,Passeriformes
Hyloctistes_subulatus,1.4802,-0.3082,Low,1,furnariids,Passeriformes
Hylophylax_naevius,1.1081,-0.4591,Low,1,tanagers,Passeriformes
Hypocnemis_cantator,1.1927,-0.6207,Mid,2,Thamnophilidae,Passeriformes
Iridosornis_analis,1.4326,-0.3312,Mid,2,tanagers,Passeriformes
Iridosornis_jelskii,1.313,-0.4204,High,3,tanagers,Passeriformes
Knipolegus_aterrimus,1.5315,-0.5024,High,3,tanagers,Passeriformes
Lafresnaya_lafresnayi,0.7574,-0.8622,High,3,Apodiformes,nopasserines
Lanio_versicolor,1.3092,-0.4877,Low,1,tanagers,Passeriformes
Lathrotriccus_euleri,0.9673,-0.6876,Low,1,flycatchers,Passeriformes
Legatus_leucophaius,1.4256,-0.7928,Mid,2,flycatchers,Passeriformes
Lepidocolaptes_lacrymiger,1.5127,-0.6482,High,3,furnariids,Passeriformes
Lepidothrix_coeruleocapilla,0.9835,-0.6161,Mid,2,manakins,Passeriformes
Lepidothrix_coronata,1.0267,-0.6967,Low,1,manakins,Passeriformes
Leptopogon_amaurocephalus,1.1494,-0.661,Low,1,flycatchers,Passeriformes
Leptotila_rufaxilla,2.1779,-0.1642,Low,1,Columbiformes,nopasserines
Lipaugus_vociferans,1.9373,-0.1197,Low,1,cotingas,Passeriformes
Lochmias_nematura,1.4844,-0.4733,Mid,2,furnariids,Passeriformes
Lophotriccus_pileatus,0.9158,-0.7258,Mid,2,flycatchers,Passeriformes
Machaeropterus_pyrocephalus,0.9997,-0.6168,Mid,2,manakins,Passeriformes
Malacoptila_semicincta,1.6732,-0.4776,Low,1,Piciformes,nopasserines
Margarornis_squamiger,1.2231,-0.5632,High,3,furnariids,Passeriformes
Mecocerculus_leucophrys,1.1434,-0.8153,High,3,flycatchers,Passeriformes
Metallura_tyrianthina,0.5804,-0.9949,High,3,Apodiformes,nopasserines
Micrastur_gilvicollis,2.2317,0.0168,Low,1,Falconiformes,nopasserines
Micrastur_semitorquatus,2.483,-0.1445,Low,1,Falconiformes,nopasserines
Microcerculus_marginatus,1.2881,-0.485,Low,1,wrens,Passeriformes
Mionectes_macconnelli,1.0584,-0.7872,Low,1,flycatchers,Passeriformes
Mionectes_oleagineus,1.055,-0.7362,Low,1,flycatchers,Passeriformes
Mionectes_olivaceus,1.1945,-0.5584,Low,1,flycatchers,Passeriformes
Mionectes_striaticollis,1.1662,-0.5687,Mid,2,flycatchers,Passeriformes
Momotus_momota,2.0902,-0.2881,Low,1,Coraciiformes,nopasserines
Muscisaxicola_fluviatilis,1.1348,-0.5786,Low,1,flycatchers,Passeriformes
Myadestes_ralloides,1.4594,-0.4099,Mid,2,thrushes,Passeriformes
Myiobius_villosus,1.1661,-0.527,Mid,2,flycatchers,Passeriformes
Myioborus_melanocephalus,1.0684,-0.677,High,3,warblers,Passeriformes
Myioborus_miniatus,0.9924,-0.697,Mid,2,warblers,Passeriformes
Myiotheretes_fumigatus,1.4654,-0.2871,High,3,flycatchers,Passeriformes
Myiozetetes_similis,1.4326,-0.5324,Low,1,flycatchers,Passeriformes
Myrmeciza_goeldii,1.6269,-0.377,Low,1,Thamnophilidae,Passeriformes
Myrmeciza_hemimelaena,1.2554,-0.6099,Low,1,Thamnophilidae,Passeriformes
Myrmoborus_leucophrys,1.2967,-0.4763,Low,1,Thamnophilidae,Passeriformes
Myrmoborus_myotherinus,1.3256,-0.5578,Low,1,Thamnophilidae,Passeriformes
Myrmotherula_axillaris,0.951,-0.7144,Low,1,Thamnophilidae,Passeriformes
Myrmotherula_hauxwelli,1.0339,-0.6782,Low,1,Thamnophilidae,Passeriformes
Myrmotherula_longipennis,0.98,-0.6622,Low,1,Thamnophilidae,Passeriformes
Myrmotherula_menetriesii,0.9674,-0.5559,Low,1,Thamnophilidae,Passeriformes
Myrmotherula_schisticolor,0.92,-0.6043,Mid,2,Thamnophilidae,Passeriformes
Ochthoeca_diadema,1.0273,-0.7591,High,3,flycatchers,Passeriformes
Ochthoeca_pulchella,1.0784,-0.7655,High,3,flycatchers,Passeriformes
Ochthoeca_thoracica,1.0353,-0.7076,High,3,flycatchers,Passeriformes
Onychorhynchus_coronatus,1.145,-0.5191,Low,1,flycatchers,Passeriformes
Percnostola_lophotes,1.4991,-0.4844,Low,1,Thamnophilidae,Passeriformes
Phaeothlypis_fulvicauda,1.1079,-0.4545,Low,1,warblers,Passeriformes
Phaethornis_guy,0.7695,-0.8754,Mid,2,Apodiformes,nopasserines
Phaethornis_hispidus,0.6861,-0.8646,Low,1,Apodiformes,nopasserines
Phaethornis_koepckeae,0.7328,-0.8744,Low,1,Apodiformes,nopasserines
Philydor_atricapillus,1.5815,-0.3815,Low,1,furnariids,Passeriformes
Phlegopsis_nigromaculata,1.6728,-0.3163,Low,1,Thamnophilidae,Passeriformes
Phlogophilus_hemileucurus,0.4417,-0.8268,Mid,2,Apodiformes,nopasserines
Picumnus_rufiventris,1.3407,-0.5812,Low,1,Piciformes,nopasserines
Pipra_fasciicauda,1.2159,-0.5917,Low,1,manakins,Passeriformes
Pipra_pipra,1.2093,-0.5397,Low,1,manakins,Passeriformes
Pipraeidea_melanonota,1.3072,-0.4168,High,3,tanagers,Passeriformes
Pipreola_arcuata,1.9683,-0.2225,High,3,cotingas,Passeriformes
Pipreola_intermedia,1.6951,-0.2138,High,3,cotingas,Passeriformes
Platyrinchus_coronatus,1.0328,-0.7932,Low,1,flycatchers,Passeriformes
Platyrinchus_platyrhynchos,1.1455,-0.5165,Low,1,flycatchers,Passeriformes
Premnoplex_brunnescens,1.1959,-0.4888,Mid,2,furnariids,Passeriformes
Pseudocolaptes_boissonneautii,1.6329,-0.2628,High,3,furnariids,Passeriformes
Pterophanes_cyanopterus,1.0334,-0.9545,High,3,Apodiformes,nopasserines
Pyriglena_leuconota,1.5061,-0.2593,Mid,2,Thamnophilidae,Passeriformes
Pyrrhomyias_cinnamomeus,1.0289,-0.6935,High,3,flycatchers,Passeriformes
Ramphocelus_carbo,1.4227,-0.5385,Mid,2,tanagers,Passeriformes
Ramphomicron_microrhynchum,0.5911,-1.0921,High,3,Apodiformes,nopasserines
Ramphotrigon_fuscicauda,1.2405,-0.5556,Low,1,flycatchers,Passeriformes
Rhegmatorhina_melanosticta,1.6253,-0.3868,Low,1,Thamnophilidae,Passeriformes
Rhynchocyclus_fulvipectus,1.4153,-0.4081,Mid,2,flycatchers,Passeriformes
Rupicola_peruvianus,2.3918,0.0315,Mid,2,cotingas,Passeriformes
Saltator_grossus,1.6945,-0.3522,Low,1,finches,Passeriformes
Schistes_geoffroyi,0.6848,-0.7426,Mid,2,Apodiformes,nopasserines
Schistocichla_leucostigma,1.2504,-0.7499,Low,1,Thamnophilidae,Passeriformes
Schizoeaca_helleri,1.1753,-0.7261,High,3,furnariids,Passeriformes
Sclerurus_guatemalensis,1.5587,-0.3372,Low,1,furnariids,Passeriformes
Sclerurus_mexicanus,1.46,-0.358,Low,1,furnariids,Passeriformes
Scytalopus_atratus,1.3318,-0.4194,Mid,2,tapaculos,Passeriformes
Scytalopus_parvirostris,1.2662,-0.42,High,3,tapaculos,Passeriformes
Selenidera_reinwardtii,2.2395,0.0789,Low,1,Piciformes,nopasserines
Simoxenops_ucayalae,1.7095,-0.218,Low,1,furnariids,Passeriformes
Sittasomus_griseicapillus,1.1578,-0.5666,Low,1,furnariids,Passeriformes
Sporophila_plumbea,1.0626,-0.6939,Mid,2,finches,Passeriformes
Thraupis_cyanocephala,1.5817,-0.3356,High,3,tanagers,Passeriformes
Threnetes_leucurus,0.9731,-0.8156,Low,1,Apodiformes,nopasserines
Thripadectes_flammulatus,1.6763,-0.2673,Mid,2,furnariids,Passeriformes
Thripadectes_ignobilis,1.6288,-0.4246,Mid,2,furnariids,Passeriformes
Tiaris_obscurus,1.0837,-0.7974,Mid,2,tapaculos,Passeriformes
Trichothraupis_melanops,1.396,-0.3467,Mid,2,tanagers,Passeriformes
Troglodytes_solstitialis,1.1127,-0.5662,High,3,wrens,Passeriformes
Trogon_personatus,1.7709,-0.0805,High,3,Trogononiformes,nopasserines
Turdus_albicollis,1.7098,-0.3407,Low,1,thrushes,Passeriformes
Turdus_chiguanco,1.9396,-0.2677,High,3,thrushes,Passeriformes
Turdus_fuscater,2.1399,-0.016,High,3,thrushes,Passeriformes
Turdus_hauxwelli,1.8016,-0.2993,Mid,2,thrushes,Passeriformes
Turdus_ignobilis,1.7527,-0.3875,Low,1,thrushes,Passeriformes
Turdus_lawrencii,1.7429,-0.1735,Low,1,thrushes,Passeriformes
Turdus_leucops,1.7934,-0.1486,Mid,2,thrushes,Passeriformes
Turdus_nigriceps,1.7087,-0.2733,Mid,2,thrushes,Passeriformes
Turdus_serranus,1.9095,-0.0111,High,3,thrushes,Passeriformes
Veniliornis_nigriceps,1.6372,-0.3129,High,3,Piciformes,nopasserines
Willisornis_poecilinotus,1.348,-0.4132,Low,1,Thamnophilidae,Passeriformes
Xenopipo_uniformis,1.2041,-0.6681,Low,1,manakins,Passeriformes
Xenops_minutus,1.1044,-0.7509,Low,1,furnariids,Passeriformes
Xiphorhynchus_elegans,1.6173,-0.2927,Low,1,furnariids,Passeriformes
Xiphorhynchus_guttatus,1.7791,-0.2803,Low,1,furnariids,Passeriformes
Xiphorhynchus_triangularis,1.6444,-0.2185,Mid,2,furnariids,Passeriformes
Zimmerius_bolivianus,1.0392,-0.5583,Mid,2,flycatchers,Passeriformes
Zonotrichia_capensis,1.3468,-0.5067,High,3,sparrows,Passeriformes
